peptideId	arabi-defline
NO17G02490	DNA repair protein Rad4 family
NO17G02520	alpha/beta-Hydrolases superfamily protein
NO17G02540	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
NO17G02550	HIT-type Zinc finger family protein
NO17G02570	RAB geranylgeranyl transferase beta subunit 1
NO17G02590	sulfate transporter 91
NO17G02600	Photosystem II reaction center PsbP family protein
NO17G02620	replication factor C subunit 3
NO17G02720	isovaleryl-CoA-dehydrogenase
NO17G02750	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO17G02760	RING/FYVE/PHD-type zinc finger family protein
NO17G02810	SART-1 family
NO17G02820	high cyclic electron flow 1
NO17G02840	peptide met sulfoxide reductase 4
NO17G02870	cytochrome P450, family 704, subfamily B, polypeptide 1
NO17G02890	Rubredoxin-like superfamily protein
NO17G02910	SNARE associated Golgi protein family
NO17G02950	RmlC-like cupins superfamily protein
NO17G02960	Werner syndrome-like exonuclease
NO17G02980	NIMA-related serine/threonine kinase 1
NO17G02990	ATP-dependent RNA helicase, mitochondrial, putative
NO18G00130	PIF1 helicase
NO18G00140	PIF1 helicase
NO18G00300	Glycosyl hydrolase family 85 
NO18G00330	photosystem I light harvesting complex gene 5
NO18G00370	pyrophosphorylase 5
NO18G00380	NAD(P)-binding Rossmann-fold superfamily protein
NO18G00410	manganese superoxide dismutase 1
NO18G00440	DNA glycosylase superfamily protein
NO18G00460	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Isy1-like splicing (InterPro:IPR009360); Has 1147 Blast hits to 965 proteins in 236 species: Archae - 12; Bacteria - 13; Metazoa - 351; Fungi - 230; Plants - 49; Viruses - 9; Other Eukaryotes - 483 (source: NCBI BLink).
NO18G00470	ABC-2 type transporter family protein
NO18G00480	Sec14p-like phosphatidylinositol transfer family protein
NO18G00490	Zinc-binding ribosomal protein family protein
NO18G00510	manganese tracking factor for mitochondrial SOD2
NO18G00530	ARM repeat superfamily protein
NO18G00560	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO18G00570	Leucine-rich repeat (LRR) family protein
NO18G00580	Nucleotidyltransferase family protein
NO18G00600	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO18G00610	ARM repeat superfamily protein
NO18G00660	pumilio 4
NO18G00670	SITE-1 protease
NO18G00680	Ankyrin repeat family protein
NO18G00760	Haem oxygenase-like, multi-helical
NO18G00790	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Dymeclin (InterPro:IPR019142); Has 395 Blast hits to 389 proteins in 117 species: Archae - 0; Bacteria - 0; Metazoa - 262; Fungi - 21; Plants - 68; Viruses - 0; Other Eukaryotes - 44 (source: NCBI BLink).
NO18G00800	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 306 Blast hits to 306 proteins in 119 species: Archae - 19; Bacteria - 238; Metazoa - 0; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 15 (source: NCBI BLink).
NO18G00820	DC1 domain-containing protein
NO18G00850	CLP protease proteolytic subunit 2
NO18G00860	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3054 (InterPro:IPR021414); Has 246 Blast hits to 246 proteins in 119 species: Archae - 14; Bacteria - 181; Metazoa - 0; Fungi - 0; Plants - 45; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink).
NO18G00880	GTP cyclohydrolase II
NO18G00890	branched-chain aminotransferase 3
NO18G00920	Ribosomal protein S7e family protein
NO18G00930	AMP-dependent synthetase and ligase family protein
NO18G00960	Regulator of chromosome condensation (RCC1) family protein
NO18G00990	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3067 (InterPro:IPR021420); Has 276 Blast hits to 276 proteins in 83 species: Archae - 0; Bacteria - 112; Metazoa - 0; Fungi - 2; Plants - 59; Viruses - 0; Other Eukaryotes - 103 (source: NCBI BLink).
NO18G01010	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
NO18G01030	Cysteine proteinases superfamily protein
NO18G01040	methylcrotonyl-CoA carboxylase alpha chain, mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA)
NO18G01060	small RNA degrading nuclease 3
NO18G01070	Met-10+ like family protein / kelch repeat-containing protein
NO18G01080	Protein of unknown function, DUF647
NO18G01090	CONTAINS InterPro DOMAIN/s: Kinase phosphorylation domain (InterPro:IPR019315); Has 8882 Blast hits to 4920 proteins in 346 species: Archae - 10; Bacteria - 184; Metazoa - 3955; Fungi - 1221; Plants - 712; Viruses - 24; Other Eukaryotes - 2776 (source: NCBI BLink).
NO18G01100	alpha/beta-Hydrolases superfamily protein
NO18G01110	ABC-2 type transporter family protein
NO18G01120	genomes uncoupled 1
NO18G01130	Tautomerase/MIF superfamily protein
NO18G01140	Chalcone-flavanone isomerase family protein
NO18G01150	Pleckstrin homology (PH) domain-containing protein / lipid-binding START domain-containing protein
NO18G01160	calcium-dependent protein kinase 15
NO18G01190	MATE efflux family protein
NO18G01210	casein kinase 1
NO18G01230	NADH-ubiquinone oxidoreductase-related
NO18G01250	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3593 (InterPro:IPR021995); Has 301 Blast hits to 301 proteins in 96 species: Archae - 0; Bacteria - 143; Metazoa - 0; Fungi - 0; Plants - 44; Viruses - 0; Other Eukaryotes - 114 (source: NCBI BLink).
NO18G01260	Tetratricopeptide repeat (TPR)-like superfamily protein
NO18G01280	heat shock protein 17.6A
NO18G01320	SIN3 associated polypeptide P18
NO18G01360	Phosphoinositide phosphatase family protein
NO18G01370	GroES-like zinc-binding alcohol dehydrogenase family protein
NO18G01410	histone deacetylase 15
NO18G01440	protein tyrosine phosphatases;protein tyrosine phosphatases
NO18G01460	asparagine synthetase 3
NO18G01480	dynamin-related protein 3A
NO18G01490	dynamin related protein
NO18G01530	RNA polymerase Rpb6
NO18G01550	triglyceride lipases;triglyceride lipases
NO18G01570	DYNAMIN-like 1E
NO18G01580	DYNAMIN-like 1D
NO18G01600	DYNAMIN-like 1E
NO18G01610	DYNAMIN-like 1D
NO18G01620	DYNAMIN-like 1D
NO18G01630	DYNAMIN-like 1E
NO18G01650	transducin family protein / WD-40 repeat family protein
NO18G01660	RNA polymerase I subunit 43
NO18G01710	long-chain base1
NO18G01720	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
NO18G01730	unknown protein; Has 65 Blast hits to 65 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 62; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).
NO18G01760	DEA(D/H)-box RNA helicase family protein
NO18G01780	Ankyrin repeat family protein
NO18G01840	semialdehyde dehydrogenase family protein
NO18G01850	vacuolar protein sorting 26B
NO18G01860	phosphate transporter 3;2
NO18G01890	pumilio 8
NO18G01900	NFU domain protein 1
NO18G01950	FAD-dependent oxidoreductase family protein
NO18G01960	translationally controlled tumor protein
NO18G01980	U2 small nuclear ribonucleoprotein B
NO18G02010	acyl-CoA oxidase 5
NO18G02020	Tetratricopeptide repeat (TPR)-like superfamily protein
NO18G02030	Tubulin binding cofactor C domain-containing protein
NO18G02070	SIGNAL PEPTIDE PEPTIDASE-LIKE 3
NO18G02090	Peptidase family M48 family protein
NO18G02100	DNA topoisomerase, type IA, core
NO18G02120	exocyst subunit exo70 family protein D3
NO18G02220	5'-3' exonuclease family protein
NO18G02250	Lactoylglutathione lyase / glyoxalase I family protein
NO18G02260	ubiquitin-protein ligase 2
NO18G02300	Galactose oxidase/kelch repeat superfamily protein
NO18G02320	Uncharacterised protein family SERF
NO18G02350	2-oxoacid dehydrogenases acyltransferase family protein
NO18G02380	Ribosomal protein L10 family protein
NO18G02390	myb domain protein 64
NO18G02400	dehydratase family
NO18G02410	serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B prime gamma
NO18G02450	aldehyde dehydrogenase  6B2
NO18G02480	prolyl oligopeptidase family protein
NO18G02500	senescence-associated gene 29
NO18G02600	Copper amine oxidase family protein
NO18G02650	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol, plasma membrane; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: WW-domain-binding protein (InterPro:IPR018826); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
NO18G02660	ABC-2 type transporter family protein
NO18G02700	temperature sensing protein-related
NO19G00030	3-methylcrotonyl-CoA carboxylase
NO19G00050	Transcription initiation factor IIF, beta subunit
NO19G00160	Peptidase S41 family protein
NO19G00180	Myotubularin-like phosphatases II superfamily
NO19G00230	NAD kinase 2
NO19G00260	membrane bound O-acyl transferase (MBOAT) family protein
NO19G00280	alpha/beta-Hydrolases superfamily protein
NO19G00360	Phosphoenolpyruvate carboxylase family protein
NO19G00380	phosphoglycerate/bisphosphoglycerate mutase
NO19G00390	proton gradient regulation 5
NO19G00470	cation/H+ exchanger 18
NO19G00480	Alpha-L RNA-binding motif/Ribosomal protein S4 family protein
NO19G00490	MAP kinase 6
NO19G00510	flavodoxin family protein / radical SAM domain-containing protein
NO19G00530	F-box/RNI-like superfamily protein
NO19G00540	Optic atrophy 3 protein (OPA3)
NO19G00590	plastid transcriptionally active 17
NO19G00600	SNARE associated Golgi protein family
NO19G00660	Translation protein SH3-like family protein
NO19G00670	ribosomal protein S13A
NO19G00690	galacturonic acid kinase
NO19G00700	unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G27290.1); Has 436 Blast hits to 436 proteins in 83 species: Archae - 0; Bacteria - 153; Metazoa - 0; Fungi - 0; Plants - 160; Viruses - 0; Other Eukaryotes - 123 (source: NCBI BLink).
NO19G00710	DNA photolyases;DNA photolyases
NO19G00720	photolyase/blue-light receptor 2
NO19G00770	unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF701, zinc-binding putative (InterPro:IPR007808); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO19G00820	Putative methyltransferase family protein
NO19G00830	homolog of DNA mismatch repair protein MSH3
NO19G00880	protein arginine methyltransferase 10
NO19G00890	Cyclin family protein
NO19G00900	nuclear factor Y, subunit C5
NO19G00930	dynamin related protein
NO19G00940	Protein of unknown function (DUF1637)
NO19G00960	unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2039 (InterPro:IPR019351); Has 215 Blast hits to 215 proteins in 94 species: Archae - 2; Bacteria - 2; Metazoa - 125; Fungi - 4; Plants - 38; Viruses - 0; Other Eukaryotes - 44 (source: NCBI BLink).
NO19G00970	dual specificity protein phosphatase 1
NO19G00990	ARM repeat superfamily protein
NO19G01060	unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF775 (InterPro:IPR008493); Has 285 Blast hits to 283 proteins in 133 species: Archae - 0; Bacteria - 0; Metazoa - 120; Fungi - 88; Plants - 50; Viruses - 0; Other Eukaryotes - 27 (source: NCBI BLink).
NO19G01070	inhibitor-3
NO19G01080	Pathogenesis-related thaumatin superfamily protein
NO19G01120	KH domain-containing protein
NO19G01130	cullin 1
NO19G01190	NAD(P)-binding Rossmann-fold superfamily protein
NO19G01200	NAD(P)-linked oxidoreductase superfamily protein
NO19G01210	Protein of unknown function DUF92, transmembrane
NO19G01240	Protease-associated (PA) RING/U-box zinc finger family protein
NO19G01260	Plasma-membrane choline transporter family protein
NO19G01280	nuclear factor Y, subunit B3
NO19G01300	NAD(P)-binding Rossmann-fold superfamily protein
NO19G01310	N2,N2-dimethylguanosine tRNA methyltransferase
NO19G01320	unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 74 Blast hits to 74 proteins in 29 species: Archae - 0; Bacteria - 19; Metazoa - 0; Fungi - 0; Plants - 49; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink).
NO19G01330	CRT (chloroquine-resistance transporter)-like transporter 1
NO19G01350	Dihydrolipoamide succinyltransferase
NO19G01370	electron transfer flavoprotein beta
NO19G01390	cell division control 2
NO19G01410	Pseudouridine synthase family protein
NO19G01420	Co-chaperone GrpE family protein
NO19G01440	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO19G01480	Pseudouridine synthase family protein
NO19G01560	AAR2 protein family
NO19G01580	protein phosphatase 5.2
NO19G01590	GTP-binding protein-related
NO19G01600	sulfate transporter 3;4
NO19G01610	Bax inhibitor-1 family protein
NO19G01630	Plasma-membrane choline transporter family protein
NO19G01640	MAP kinase kinase 6
NO19G01650	embryo sac development arrest 7
NO19G01660	kinesin 5
NO19G01670	peptide transporter  5
NO19G01680	diacylglycerol acyltransferase family
NO19G01710	Cysteinyl-tRNA synthetase, class Ia family protein
NO19G01730	Inositol monophosphatase family protein
NO19G01750	Aldolase superfamily protein
NO19G01780	sterol 4-alpha-methyl-oxidase 2-2
NO19G01790	Tryptophan/tyrosine permease
NO19G01810	homolog of mamallian P58IPK
NO19G01850	fructose-2,6-bisphosphatase
NO19G01860	vacuolar H+-pyrophosphatase 2
NO19G01870	RNA binding (RRM/RBD/RNP motifs) family protein
NO19G01880	citrate synthase 3
NO19G01890	Bax inhibitor-1 family protein
NO19G01910	mRNA capping enzyme family protein
NO19G01920	Eukaryotic release factor 1 (eRF1) family protein
NO19G01940	cell division cycle 48
NO19G01970	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO19G02000	nuclear RNA polymerase C1
NO19G02020	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO19G02030	vacuolar protein sorting-associated protein 28 homolog 1
NO19G02110	DERLIN-1
NO19G02140	eukaryotic initiation factor 3 gamma subunit family protein
NO19G02160	Major facilitator superfamily protein
NO19G02180	Homeodomain-like protein
NO19G02260	Splicing factor, CC1-like
NO19G02310	Xanthine/uracil permease family protein
NO19G02320	Metallo-hydrolase/oxidoreductase superfamily protein
NO19G02390	ATP binding;leucine-tRNA ligases;aminoacyl-tRNA ligases;nucleotide binding;ATP binding;aminoacyl-tRNA ligases
NO19G02440	Patched family protein
NO19G02460	SNARE associated Golgi protein family
NO19G02470	Phosphoglycerate mutase family protein
NO19G02480	Ribosomal protein L30/L7 family protein
NO19G02500	BTB/POZ domain-containing protein
NO19G02520	stress-inducible protein, putative
NO19G02530	Calcium/lipid-binding (CaLB) phosphatase
NO19G02560	phosphotyrosyl phosphatase activator (PTPA) family protein
NO19G02590	Molecular chaperone Hsp40/DnaJ family protein
NO19G02600	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
NO19G02610	RING/U-box superfamily protein
NO19G02620	peroxisomal ABC transporter 1
NO19G02680	AAA-type ATPase family protein
NO19G02690	CONTAINS InterPro DOMAIN/s: Ankyrin repeat-containing domain (InterPro:IPR020683), Ankyrin repeat (InterPro:IPR002110); BEST Arabidopsis thaliana protein match is: XB3 ortholog 2 in Arabidopsis thaliana (TAIR:AT5G57740.1); Has 66374 Blast hits to 25358 proteins in 1201 species: Archae - 121; Bacteria - 8133; Metazoa - 29530; Fungi - 5885; Plants - 3349; Viruses - 785; Other Eukaryotes - 18571 (source: NCBI BLink).
NO19G02720	farnesylated protein-converting enzyme 2
NO20G00020	lactoylglutathione lyase family protein / glyoxalase I family protein
NO20G00030	TLD-domain containing nucleolar protein
NO20G00040	adenosine monophosphate kinase
NO20G00050	phytochelatin synthase 1 (PCS1)
NO20G00060	STELAR K+ outward rectifier
NO20G00080	Ankyrin repeat family protein
NO20G00160	importin alpha isoform 4
NO20G00170	Pectinacetylesterase family protein
NO20G00180	Peptidase C15, pyroglutamyl peptidase I-like
NO20G00190	unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function WDYHV (InterPro:IPR019161); Has 201 Blast hits to 201 proteins in 90 species: Archae - 0; Bacteria - 2; Metazoa - 132; Fungi - 10; Plants - 30; Viruses - 0; Other Eukaryotes - 27 (source: NCBI BLink).
NO20G00250	ABC-2 type transporter family protein
NO20G00260	phytoene desaturation 1
NO20G00310	NAD-dependent glycerol-3-phosphate dehydrogenase family protein
NO20G00320	MA3 domain-containing protein
NO20G00380	membrane-associated progesterone binding protein 4
NO20G00420	Deoxyxylulose-5-phosphate synthase
NO20G00430	Plant regulator RWP-RK family protein
NO20G00440	pyruvate dehydrogenase kinase
NO20G00450	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO20G00480	ARM repeat superfamily protein
NO20G00500	photosystem I light harvesting complex gene 1
NO20G00510	lipase 1
NO20G00520	phosphoribosyl pyrophosphate (PRPP) synthase 2
NO20G00560	pleiotropic drug resistance 1
NO20G00570	prefoldin 3
NO20G00630	alpha carbonic anhydrase 2
NO20G00650	51 kDa subunit of complex I
NO20G00670	plastid transcriptionally active 2
NO20G00680	Tetratricopeptide repeat (TPR)-like superfamily protein
NO20G00690	DNAse I-like superfamily protein
NO20G00700	purin 7
NO20G00720	breast basic conserved 1
NO20G00740	PLAC8 family protein
NO20G00750	vacuolar protein sorting 45
NO20G00790	cation exchanger 11
NO20G00800	plastid transcriptionally active 4
NO20G00810	Transducin/WD40 repeat-like superfamily protein
NO20G00840	phosphoglycerate kinase 1
NO20G00850	Amino acid dehydrogenase family protein
NO20G00860	endoplasmic reticulum retention defective 2B
NO20G00880	ARM repeat superfamily protein
NO20G00890	Nucleic acid-binding, OB-fold-like protein
NO20G00950	ATP-binding casette family G25
NO20G00960	Tho complex subunit 7/Mft1p
NO20G00970	cellular apoptosis susceptibility protein, putative / importin-alpha re-exporter, putative
NO20G00980	cellular apoptosis susceptibility protein, putative / importin-alpha re-exporter, putative
NO20G00990	DNA-binding HORMA family protein
NO20G01000	casein kinase I-like 5
NO20G01010	DEA(D/H)-box RNA helicase family protein
NO20G01020	protein arginine methyltransferase 4B
NO20G01030	Transducin/WD40 repeat-like superfamily protein
NO20G01040	ADP-ribosylation factor family protein
NO20G01050	Ubiquitin fusion degradation UFD1 family protein
NO20G01060	CLIP-associated protein
NO20G01070	NADH-ubiquinone oxidoreductase-related
NO20G01080	spindle pole body component 98
NO20G01100	aldehyde dehydrogenase 22A1
NO20G01110	Nucleotide-diphospho-sugar transferases superfamily protein
NO20G01160	RNA polymerases M/15 Kd subunit
NO20G01170	Tim10/DDP family zinc finger protein
NO20G01180	transmembrane nine 1
NO20G01190	SNF7 family protein
NO20G01200	metallo-beta-lactamase family protein
NO20G01210	sirtuin 2
NO20G01230	tetratricopeptide repeat (TPR)-containing protein
NO20G01260	Phosphatidic acid phosphatase (PAP2) family protein
NO20G01270	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: tRNA (guanine-N1-)-methyltransferase (InterPro:IPR016009), tRNA (guanine-N(1)-)-methyltransferase, metazoa (InterPro:IPR016653), tRNA (guanine-N1-)-methyltransferase, eukaryotic (InterPro:IPR007356); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
NO20G01280	gamma-glutamyl hydrolase 1
NO20G01320	myb domain protein 118
NO20G01360	tetratricopeptide repeat (TPR)-containing protein
NO20G01390	anaphase-promoting complex/cyclosome 11
NO20G01400	Cysteine proteinases superfamily protein
NO20G01420	ER-type Ca2+-ATPase 1
NO20G01430	endoplasmic reticulum-type calcium-transporting ATPase 3
NO20G01450	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO20G01470	Purple acid phosphatases superfamily protein
NO20G01490	SHK1 binding protein 1
NO20G01500	L-galactono-1,4-lactone dehydrogenase
NO20G01510	BSD domain-containing protein
NO20G01520	nuclear encoded CLP protease 5
NO20G01540	glyoxylate reductase 2
NO20G01550	alpha/beta-Hydrolases superfamily protein
NO20G01590	Alba DNA/RNA-binding protein
NO20G01600	lipoamide dehydrogenase 2
NO20G01610	serine transhydroxymethyltransferase 1
NO20G01620	Co-chaperone GrpE family protein
NO20G01630	formyltransferase, putative
NO20G01650	ubiquitin-specific protease 23
NO20G01660	Transducin family protein / WD-40 repeat family protein
NO20G01690	Pseudouridine synthase family protein
NO20G01700	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO20G01720	30S ribosomal protein, putative
NO20G01730	RING/FYVE/PHD-type zinc finger family protein
NO20G01740	protein serine/threonine kinases;ATP binding;catalytics
NO20G01750	unknown protein; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0153 (InterPro:IPR005358); Has 240 Blast hits to 240 proteins in 73 species: Archae - 10; Bacteria - 110; Metazoa - 0; Fungi - 0; Plants - 25; Viruses - 0; Other Eukaryotes - 95 (source: NCBI BLink).
NO20G01770	plasma membrane intrinsic protein 2;8
NO20G01780	Metal-dependent phosphohydrolase
NO20G01810	Peptidase S24/S26A/S26B/S26C family protein
NO20G01820	ARF-GAP domain 1
NO20G01830	PDI-like 1-4
NO20G01840	PHYTOENE SYNTHASE
NO20G01850	nuclear RNA polymerase A2
NO20G01860	SWIB complex BAF60b domain-containing protein
NO20G01910	purine biosynthesis 4
NO20G01920	DERLIN-2.2
NO20G01940	Biotin/lipoate A/B protein ligase family
NO20G01960	Putative methyltransferase family protein
NO20G01970	Chaperone DnaJ-domain superfamily protein
NO20G02010	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO20G02020	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Nop14-like protein (InterPro:IPR007276); Has 69842 Blast hits to 35213 proteins in 1572 species: Archae - 363; Bacteria - 20593; Metazoa - 20851; Fungi - 8010; Plants - 2912; Viruses - 517; Other Eukaryotes - 16596 (source: NCBI BLink).
NO20G02030	yeast YAK1-related gene 1
NO20G02060	protein arginine methyltransferase 7
NO20G02070	Ribosomal protein L32e
NO20G02090	E3 ubiquitin ligase, putative
NO20G02120	heat shock protein 101
NO20G02130	heat shock protein 18.2
NO20G02140	heat shock protein 18.2
NO20G02150	heat shock protein 18.2
NO20G02160	Calcium-binding endonuclease/exonuclease/phosphatase family
NO20G02200	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0061 (InterPro:IPR003846); Has 5046 Blast hits to 4997 proteins in 1211 species: Archae - 8; Bacteria - 2327; Metazoa - 120; Fungi - 134; Plants - 48; Viruses - 0; Other Eukaryotes - 2409 (source: NCBI BLink).
NO20G02210	XB3 ortholog 1 in Arabidopsis thaliana
NO20G02230	vacuolar proton ATPase A3
NO20G02250	Protein kinase superfamily protein
NO20G02300	Protein of unknown function DUF106, transmembrane
NO20G02320	rhodanese-like domain-containing protein / PPIC-type PPIASE domain-containing protein
NO20G02350	non-photochemical quenching 1
NO20G02370	ATP binding cassette subfamily B19
NO20G02410	NAD(H) kinase 3
NO20G02430	ammonium transporter 2
NO20G02450	galactosyltransferase1
NO20G02470	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF667 (InterPro:IPR007714); Has 373 Blast hits to 371 proteins in 116 species: Archae - 0; Bacteria - 0; Metazoa - 213; Fungi - 4; Plants - 71; Viruses - 0; Other Eukaryotes - 85 (source: NCBI BLink).
NO20G02480	Tetratricopeptide repeat (TPR)-like superfamily protein
NO20G02500	phosphate deficiency response 2
NO20G02510	endomembrane-type CA-ATPase 4
NO20G02530	glucose-6-phosphate/phosphate translocator 2
NO20G02560	phosphatidyl serine synthase family protein
NO20G02570	translation elongation factor Ts (EF-Ts), putative
NO20G02580	vesicle associated protein
NO21G00020	phosphate transporter 3;2
NO21G00040	Molecular chaperone Hsp40/DnaJ family protein
NO21G00050	short-chain dehydrogenase-reductase B
NO21G00060	GroES-like zinc-binding dehydrogenase family protein
NO21G00080	DNA topoisomerase, type IA, core
NO21G00140	ABC-2 type transporter family protein
NO21G00210	BSD domain (BTF2-like transcription factors, Synapse-associated proteins and DOS2-like proteins)
NO21G00270	protein phosphatase 2A-3
NO21G00290	zinc finger (C3HC4-type RING finger) family protein
NO21G00340	3'-5'-exoribonuclease family protein
NO21G00370	NAD(P)-binding Rossmann-fold superfamily protein
NO21G00390	Calcium-dependent lipid-binding (CaLB domain) family protein
NO21G00400	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein
NO21G00430	Ubiquitin fusion degradation UFD1 family protein
NO21G00440	homolog of yeast sucrose nonfermenting 4
NO21G00460	embryo sac development arrest 14
NO21G00470	autophagy 3 (APG3)
NO21G00480	autophagy 3 (APG3)
NO21G00540	periodic tryptophan protein 2
NO21G00590	ataurora3
NO21G00740	CONTAINS InterPro DOMAIN/s: DDRGK domain (InterPro:IPR019153); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO21G00760	haloacid dehalogenase-like hydrolase family protein
NO21G00800	Family of unknown function (DUF572) 
NO21G00830	unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO21G00850	ribosomal protein S28
NO21G00860	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO21G00880	glucose-inhibited division family A protein
NO21G00900	tryptophan synthase beta-subunit 2
NO21G00910	TBP-associated factor 13
NO21G00920	Phosphatidylinositol 3- and 4-kinase ;Ubiquitin family protein
NO21G00930	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
NO21G00950	peptidemethionine sulfoxide reductase 3
NO21G00960	Acyl-CoA N-acyltransferases (NAT) superfamily protein
NO21G00970	Transmembrane amino acid transporter family protein
